device_id,timestamp,accuracy,heading_d,latitude,longitude
Lema,2000-01-01T08:25:57Z,5,75,-24.218256,30.9411
Lema,2000-01-01T08:26:01Z,6,74,-24.218184,30.94136
Lema,2000-01-01T08:26:04Z,5,76,-24.218147,30.941517
Lema,2000-01-01T08:26:08Z,4,82,-24.218102,30.9418
Lema,2000-01-01T08:26:11Z,4,80,-24.218073,30.942017
Lema,2000-01-01T08:26:15Z,4,76,-24.218027,30.942234
Lema,2000-01-01T08:26:18Z,5,75,-24.217966,30.942492
Lema,2000-01-01T08:26:22Z,4,75,-24.217913,30.942734
Lema,2000-01-01T08:26:25Z,4,74,-24.21786,30.942957
Lema,2000-01-01T08:26:29Z,4,73,-24.217793,30.943254
Lema,2000-01-01T08:26:33Z,4,75,-24.217728,30.9435
Lema,2000-01-01T08:26:37Z,4,75,-24.217655,30.943808
Lema,2000-01-01T08:26:40Z,5,73,-24.217598,30.944038
Lema,2000-01-01T08:26:43Z,6,74,-24.217545,30.944252
Lema,2000-01-01T08:26:47Z,7,80,-24.217491,30.944546
Lema,2000-01-01T08:26:51Z,6,76,-24.21743,30.944807
Lema,2000-01-01T08:26:55Z,7,75,-24.21738,30.945044
Lema,2000-01-01T08:26:58Z,6,77,-24.217333,30.945215
Lema,2000-01-01T08:27:02Z,7,80,-24.217283,30.945469
Lema,2000-01-01T08:27:06Z,7,74,-24.217243,30.945688
Lema,2000-01-01T08:27:10Z,6,74,-24.217178,30.945946
Lema,2000-01-01T08:27:14Z,6,77,-24.217115,30.94623
Lema,2000-01-01T08:27:18Z,6,77,-24.217056,30.94654
Lema,2000-01-01T08:27:21Z,8,76,-24.21702,30.946749
Lema,2000-01-01T08:27:25Z,8,78,-24.216969,30.947027
Lema,2000-01-01T08:27:28Z,8,78,-24.216915,30.947258
Lema,2000-01-01T08:27:32Z,8,76,-24.216852,30.947554
Lema,2000-01-01T08:27:35Z,8,74,-24.2168,30.947767
Lema,2000-01-01T08:27:39Z,7,75,-24.21672,30.94809
Lema,2000-01-01T08:27:42Z,6,74,-24.21666,30.94832
Lema,2000-01-01T08:27:46Z,6,74,-24.21658,30.948624
