X,Y,Timestamp,Distance (,Seconds Si,Accuracy (,Altitude (,DeviceId,Heading (D,Latitude,Longitude,Speed (km/,Cumulative
30.872768,-24.18168,2021/04/14 06:46:56.000,0.013059100274227,"4","2",408.800000000000011,bb0100ed-a859-eb11-8fed-0003ff1cb017,252.800000000000011,-24.181680000000000,30.872768000000001,12.240000000000000,28.309999999999999
30.872742,-24.1817,2021/04/14 06:47:19.000,0.003450937726303,"23","4",408.699999999999989,bb0100ed-a859-eb11-8fed-0003ff1cb017,226.099999999999994,-24.181699999999999,30.872741999999999,5.040000000000000,28.320000000000000
30.872698,-24.181744,2021/04/14 06:47:22.000,0.006624614196549,"3","3",408.399999999999977,bb0100ed-a859-eb11-8fed-0003ff1cb017,221.099999999999994,-24.181743999999998,30.872698000000000,7.920000000000000,28.320000000000000
30.872631,-24.181795,2021/04/14 06:47:26.000,0.008854307060939,"4","3",407.899999999999977,bb0100ed-a859-eb11-8fed-0003ff1cb017,236.099999999999994,-24.181795000000001,30.872630999999998,7.920000000000000,28.329999999999998
30.87254,-24.181824,2021/04/14 06:47:30.000,0.009780924378555,"4","2",407.399999999999977,bb0100ed-a859-eb11-8fed-0003ff1cb017,244.500000000000000,-24.181823999999999,30.872540000000001,8.279999999999999,28.340000000000000
30.872482,-24.181866,2021/04/14 06:47:33.000,0.007514001919833,"3","2",406.500000000000000,bb0100ed-a859-eb11-8fed-0003ff1cb017,228.000000000000000,-24.181865999999999,30.872482000000002,8.640000000000002,28.350000000000001
30.872404,-24.181932,2021/04/14 06:47:37.000,0.010795083362924,"4","3",405.899999999999977,bb0100ed-a859-eb11-8fed-0003ff1cb017,224.400000000000006,-24.181932000000000,30.872404000000000,9.000000000000000,28.359999999999999
30.872343,-24.182009,2021/04/14 06:47:41.000,0.010567191299591,"4","3",405.800000000000011,bb0100ed-a859-eb11-8fed-0003ff1cb017,213.000000000000000,-24.182009000000001,30.872343000000001,9.000000000000000,28.370000000000001
30.8723,-24.182066,2021/04/14 06:47:44.000,0.007696375595655,"3","3",405.699999999999989,bb0100ed-a859-eb11-8fed-0003ff1cb017,217.900000000000006,-24.182065999999999,30.872299999999999,9.359999999999999,28.379999999999999
30.872244,-24.182116,2021/04/14 06:47:47.000,0.007951003126157,"3","2",404.800000000000011,bb0100ed-a859-eb11-8fed-0003ff1cb017,231.500000000000000,-24.182116000000001,30.872243999999998,9.359999999999999,28.379999999999999
30.872175,-24.182167,2021/04/14 06:47:50.000,0.009011048455141,"3","2",404.699999999999989,bb0100ed-a859-eb11-8fed-0003ff1cb017,227.000000000000000,-24.182167000000000,30.872174999999999,9.359999999999999,28.390000000000001
30.872128,-24.18226,2021/04/14 06:47:54.000,0.011390781693641,"4","3",405.399999999999977,bb0100ed-a859-eb11-8fed-0003ff1cb017,201.000000000000000,-24.182259999999999,30.872128000000000,9.720000000000001,28.410000000000000
30.872087,-24.182323,2021/04/14 06:47:57.000,0.008149373795005,"3","3",404.500000000000000,bb0100ed-a859-eb11-8fed-0003ff1cb017,210.400000000000006,-24.182323000000000,30.872087000000001,9.720000000000001,28.410000000000000
30.872017,-24.182417,2021/04/14 06:48:01.000,0.012640009860846,"4","2",404.000000000000000,bb0100ed-a859-eb11-8fed-0003ff1cb017,212.000000000000000,-24.182417000000001,30.872017000000000,10.440000000000000,28.430000000000000
30.871958,-24.182484,2021/04/14 06:48:04.000,0.009559206456831,"3","2",403.800000000000011,bb0100ed-a859-eb11-8fed-0003ff1cb017,219.000000000000000,-24.182483999999999,30.871957999999999,10.440000000000000,28.440000000000001
30.87187,-24.182568,2021/04/14 06:48:08.000,0.012923972301735,"4","2",403.199999999999989,bb0100ed-a859-eb11-8fed-0003ff1cb017,221.000000000000000,-24.182568000000000,30.871870000000001,10.800000000000001,28.449999999999999
30.871792,-24.18266,2021/04/14 06:48:12.000,0.012936676936465,"4","2",403.600000000000023,bb0100ed-a859-eb11-8fed-0003ff1cb017,213.000000000000000,-24.182659999999998,30.871791999999999,11.160000000000000,28.460000000000001
30.871737,-24.18274,2021/04/14 06:48:15.000,0.010503637124181,"3","2",403.600000000000023,bb0100ed-a859-eb11-8fed-0003ff1cb017,212.400000000000006,-24.182739999999999,30.871737000000000,11.520000000000000,28.469999999999999
30.87168,-24.182816,2021/04/14 06:48:18.000,0.010242678311420,"3","2",404.000000000000000,bb0100ed-a859-eb11-8fed-0003ff1cb017,215.400000000000006,-24.182815999999999,30.871680000000001,11.520000000000000,28.480000000000000
30.871578,-24.182888,2021/04/14 06:48:22.000,0.013086449650681,"4","2",403.600000000000023,bb0100ed-a859-eb11-8fed-0003ff1cb017,248.300000000000011,-24.182887999999998,30.871578000000000,11.880000000000001,28.500000000000000
30.87148,-24.1829,2021/04/14 06:48:25.000,0.010033101925685,"3","2",403.100000000000023,bb0100ed-a859-eb11-8fed-0003ff1cb017,269.399999999999977,-24.182900000000000,30.871479999999998,11.520000000000000,28.510000000000002
30.871351,-24.182896,2021/04/14 06:48:29.000,0.013097005365090,"4","2",401.600000000000023,bb0100ed-a859-eb11-8fed-0003ff1cb017,267.100000000000023,-24.182896000000000,30.871351000000001,11.520000000000000,28.520000000000000
30.871244,-24.182888,2021/04/14 06:48:33.000,0.010893541932879,"4","2",401.300000000000011,bb0100ed-a859-eb11-8fed-0003ff1cb017,281.000000000000000,-24.182887999999998,30.871244000000001,10.800000000000001,28.530000000000001
30.871183,-24.182873,2021/04/14 06:48:36.000,0.006410512079864,"3","2",401.000000000000000,bb0100ed-a859-eb11-8fed-0003ff1cb017,282.699999999999989,-24.182873000000001,30.871182999999998,10.440000000000000,28.539999999999999
