device_id,timestamp,accuracy,heading_d,latitude,longitude
Tango,1999-12-31T20:17:33Z,4,265.9,-24.223743,30.902151
Tango,1999-12-31T20:17:37Z,4,261.7,-24.223751,30.901964
Tango,1999-12-31T20:17:41Z,4,255.7,-24.223797,30.901802
Tango,1999-12-31T20:17:44Z,4,260,-24.223818,30.901672
Tango,1999-12-31T20:17:48Z,3,269,-24.223837,30.901487
Tango,1999-12-31T20:17:52Z,4,272,-24.223837,30.901253
Tango,1999-12-31T20:17:56Z,4,264,-24.223845,30.901014
Tango,1999-12-31T20:17:59Z,5,263,-24.223856,30.900902
Tango,1999-12-31T20:18:02Z,5,264,-24.223867,30.900784
Tango,1999-12-31T20:18:06Z,3,261,-24.223898,30.900553
Tango,1999-12-31T20:18:10Z,4,258.8,-24.223925,30.900393
Tango,1999-12-31T20:18:14Z,4,269,-24.223938,30.900225
Tango,1999-12-31T20:18:18Z,3,267,-24.223948,30.900026
Tango,1999-12-31T20:18:21Z,4,264.9,-24.223955,30.89988
Tango,1999-12-31T20:18:24Z,4,309.7,-24.223936,30.89979
Tango,1999-12-31T20:18:28Z,4,326.2,-24.223827,30.899729
Tango,1999-12-31T20:18:32Z,5,316.9,-24.223686,30.899569
Tango,1999-12-31T20:18:35Z,6,338.7,-24.223583,30.899498
Tango,1999-12-31T20:18:38Z,5,342,-24.22345,30.899464
Tango,1999-12-31T20:18:42Z,4,334,-24.223255,30.899384
Tango,1999-12-31T20:18:46Z,5,341,-24.223087,30.899288
Tango,1999-12-31T20:18:50Z,5,338,-24.222933,30.89924
Tango,1999-12-31T20:18:53Z,4,326,-24.222795,30.899158
Tango,1999-12-31T20:18:57Z,4,335,-24.222624,30.899046
Tango,1999-12-31T20:19:01Z,4,342,-24.222431,30.898989
Tango,1999-12-31T20:19:05Z,4,338,-24.22224,30.898916
Tango,1999-12-31T20:19:09Z,4,328,-24.22205,30.898808
Tango,1999-12-31T20:19:13Z,4,290.9,-24.221918,30.898678
Tango,1999-12-31T20:19:16Z,4,263,-24.221914,30.89852
