X,Y,Timestamp,Distance (,Seconds Si,Accuracy (,Altitude (,DeviceId,Heading (D,Latitude,Longitude,Speed (km/,Cumulative
30.919838,-24.222258,2021/04/28 08:20:23.000,0.024148469560895,"4","6",464.199999999999989,bb0100ed-a859-eb11-8fed-0003ff1cb017,87.000000000000000,-24.222258000000000,30.919837999999999,24.840000000000000,59.960000000000001
30.92013,-24.22224,2021/04/28 08:20:27.000,0.029687268429458,"4","6",464.100000000000023,bb0100ed-a859-eb11-8fed-0003ff1cb017,85.000000000000000,-24.222239999999999,30.920130000000000,25.559999999999999,59.990000000000002
30.920336,-24.222212,2021/04/28 08:20:30.000,0.021126897476248,"3","6",463.899999999999977,bb0100ed-a859-eb11-8fed-0003ff1cb017,81.000000000000000,-24.222211999999999,30.920335999999999,24.480000000000000,60.009999999999998
30.920528,-24.222183,2021/04/28 08:20:33.000,0.019741275722654,"3","6",463.500000000000000,bb0100ed-a859-eb11-8fed-0003ff1cb017,82.000000000000000,-24.222183000000001,30.920528000000001,22.680000000000000,60.030000000000001
30.920738,-24.222157,2021/04/28 08:20:37.000,0.021497250379038,"4","6",463.399999999999977,bb0100ed-a859-eb11-8fed-0003ff1cb017,79.000000000000000,-24.222156999999999,30.920738000000000,20.520000000000000,60.049999999999997
30.92099,-24.222128,2021/04/28 08:20:41.000,0.025764927300980,"4","6",464.500000000000000,bb0100ed-a859-eb11-8fed-0003ff1cb017,86.000000000000000,-24.222128000000001,30.920990000000000,25.199999999999999,60.079999999999998
30.921272,-24.222116,2021/04/28 08:20:45.000,0.028636458214437,"4","7",465.300000000000011,bb0100ed-a859-eb11-8fed-0003ff1cb017,83.000000000000000,-24.222116000000000,30.921271999999998,25.559999999999999,60.109999999999999
30.92149,-24.222095,2021/04/28 08:20:48.000,0.022236370664736,"3","6",466.100000000000023,bb0100ed-a859-eb11-8fed-0003ff1cb017,85.000000000000000,-24.222094999999999,30.921489999999999,25.920000000000002,60.130000000000003
30.9217,-24.22208,2021/04/28 08:20:51.000,0.021367090479883,"3","6",464.500000000000000,bb0100ed-a859-eb11-8fed-0003ff1cb017,85.000000000000000,-24.222079999999998,30.921700000000001,25.920000000000002,60.149999999999999
30.92201,-24.222063,2021/04/28 08:20:55.000,0.031502394253026,"4","6",465.600000000000023,bb0100ed-a859-eb11-8fed-0003ff1cb017,86.000000000000000,-24.222062999999999,30.922010000000000,27.719999999999999,60.180000000000000
30.92228,-24.222036,2021/04/28 08:20:59.000,0.027552266017570,"4","6",465.899999999999977,bb0100ed-a859-eb11-8fed-0003ff1cb017,83.000000000000000,-24.222035999999999,30.922280000000001,21.960000000000001,60.210000000000001
30.922487,-24.222029,2021/04/28 08:21:03.000,0.021011978320841,"4","6",464.500000000000000,bb0100ed-a859-eb11-8fed-0003ff1cb017,87.000000000000000,-24.222028999999999,30.922487000000000,22.680000000000000,60.229999999999997
30.922665,-24.222006,2021/04/28 08:21:06.000,0.018236201942323,"3","6",464.899999999999977,bb0100ed-a859-eb11-8fed-0003ff1cb017,86.900000000000006,-24.222006000000000,30.922664999999999,18.719999999999999,60.250000000000000
30.922886,-24.221994,2021/04/28 08:21:10.000,0.022457378085958,"4","6",464.899999999999977,bb0100ed-a859-eb11-8fed-0003ff1cb017,81.500000000000000,-24.221993999999999,30.922885999999998,22.320000000000000,60.270000000000003
30.923084,-24.22196,2021/04/28 08:21:13.000,0.020437564836998,"3","6",465.300000000000011,bb0100ed-a859-eb11-8fed-0003ff1cb017,81.000000000000000,-24.221959999999999,30.923083999999999,20.520000000000000,60.289999999999999
30.923267,-24.22193,2021/04/28 08:21:16.000,0.018860597523429,"3","6",466.800000000000011,bb0100ed-a859-eb11-8fed-0003ff1cb017,80.000000000000000,-24.221930000000000,30.923266999999999,23.399999999999999,60.310000000000002
30.923529,-24.221886,2021/04/28 08:21:20.000,0.027023502868607,"4","6",467.399999999999977,bb0100ed-a859-eb11-8fed-0003ff1cb017,74.000000000000000,-24.221886000000001,30.923528999999998,20.160000000000000,60.340000000000003
30.923752,-24.221851,2021/04/28 08:21:24.000,0.022953131108546,"4","6",468.000000000000000,bb0100ed-a859-eb11-8fed-0003ff1cb017,86.000000000000000,-24.221851000000001,30.923752000000000,23.039999999999999,60.359999999999999
30.923927,-24.221846,2021/04/28 08:21:27.000,0.017760285289159,"3","6",469.500000000000000,bb0100ed-a859-eb11-8fed-0003ff1cb017,86.000000000000000,-24.221845999999999,30.923926999999999,22.320000000000000,60.380000000000003
30.924185,-24.221832,2021/04/28 08:21:31.000,0.026217183833402,"4","6",471.000000000000000,bb0100ed-a859-eb11-8fed-0003ff1cb017,79.000000000000000,-24.221831999999999,30.924185000000001,27.000000000000000,60.399999999999999
30.924416,-24.221806,2021/04/28 08:21:34.000,0.023609873632058,"3","6",471.399999999999977,bb0100ed-a859-eb11-8fed-0003ff1cb017,86.000000000000000,-24.221806000000001,30.924416000000001,25.199999999999999,60.430000000000000
30.924667,-24.221785,2021/04/28 08:21:38.000,0.025567763793231,"4","7",475.100000000000023,bb0100ed-a859-eb11-8fed-0003ff1cb017,84.000000000000000,-24.221785000000001,30.924666999999999,22.320000000000000,60.450000000000003
